,title,link,views,date,thumbnail
52,🍷 WINE QUALITY PREDICTION using RANDOM FOREST Algorithm | Machine Learning Projects | GeeksforGeeks,/watch?v=MyllYgc-kh8,1K views,3 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
53,Create a QR CODE SCANNER and GENERATOR Application using Flutter | Flutter Projects | GeeksforGeeks,/watch?v=hm5JfFhiXL8,9.1K views,3 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
54,Create AI DESKTOP VIRTUAL ASSISTANT using Python and Tkinter | Python Projects | GeeksforGeeks,/watch?v=tZl1_AcC7Dw,4.1K views,3 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
55,Graph Practice Problems | Graph Data Structure | DSA Course | GeeksforGeeks,/watch?v=pCmsQVHYXK0,2.1K views,3 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
56,Face Detection using Python and OpenCV with webcam | Python Projects | GeeksforGeeks,/watch?v=129exLkKeks,1.9K views,3 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
57,Plagiarism Detection using Python | Python Projects | GeeksforGeeks,/watch?v=QFQItyHsxZY,1.7K views,3 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
58,Weapon Detection Using Python-OpenCV | Python Projects | GeeksforGeeks,/watch?v=xlcNMlyN34g,4.3K views,3 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
59,TITANIC SURVIVAL PREDICTION using TensorFlow | Machine Learning Projects | GeeksforGeeks,/watch?v=cRYSIR6LaNQ,1.2K views,3 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
60,What is BACKEND DEVELOPMENT? | Explained in 60 seconds | Full Stack Concepts | GeeksforGeeks,/watch?v=C2u6_wOYlPc,1.3K views,3 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
61,STOCK PRICE PREDICTION using Machine Learning📈 | Machine Learning Projects | GeeksforGeeks,/watch?v=tn07dCSFOfQ,15K views,3 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
62,What is FRONTEND DEVELOPMENT? | Explained in 60 seconds | Full Stack Concepts | GeeksforGeeks,/watch?v=IiM10iV_Zug,1.1K views,3 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
63,Air Quality Index Prediction in Python | Machine Learning Projects | GeeksforGeeks,/watch?v=0myaZxl4XWw,5.3K views,4 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
64,TWITTER SENTIMENT ANALYSIS (NLP) | Machine Learning Projects | GeeksforGeeks,/watch?v=4YGkfAd2iXM,28K views,4 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
65,Diabetes Prediction in Machine Learning using Python | Machine Learning Projects | GeeksforGeeks,/watch?v=AxYgzie4x2E,5.4K views,4 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
66,Stack Practice Question | Parenthesis Checker | Learn DSA Concepts | GeeksforGeeks,/watch?v=2ay2GCrmf9E,1.1K views,4 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
67,"Build a Stopwatch using HTML, CSS, and JS | GeeksforGeeks",/watch?v=DR5tJWig0AQ,935 views,4 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
68,WHAT IS STACK? | Stack Data Structures | DSA Course | GeeksforGeeks,/watch?v=lhhyE7NVcbg,1.8K views,4 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
69,Meet A Data Scientist with 5 Years+ Experience | Ft.Tavishi Jaglan | GeeksforGeeks,/watch?v=4_u-xcfqpcA,1.7K views,4 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
70,Master Data Science Concepts: Apache Kafka in 60 Seconds | Data Science Crash Course | GeeksforGeeks,/watch?v=Li0wAG3hORQ,984 views,4 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
71,Master Data Science Concepts: Apache Flume in 60 Seconds | Data Science Crash Course | GeeksforGeeks,/watch?v=bdjQI-OBGk8,732 views,4 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
72,Master Data Science Concepts: Data Bricks in 60 Seconds | Data Science Crash Course | GeeksforGeeks,/watch?v=d1Pn06Rc9QE,931 views,4 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
73,Master Data Science Concepts: Apache Beam in 60 Seconds | Data Science Crash Course | GeeksforGeeks,/watch?v=PjSA0Ru7_rI,953 views,4 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
74,Master Data Science Concepts: Data Lake in 60 Seconds | Data Science Crash Course | GeeksforGeeks,/watch?v=KGD-T3bhFEA,1.4K views,4 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
75,Choosing the Right Cloud Provider | AWS vs Azure vs GCP | GeeksforGeeks,/watch?v=YbPnhezNaUE,3.6K views,4 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
76,A Journey from NOKIA to PAYPAL | Ft. Palak Awasthi | GeeksforGeeks,/watch?v=6UUTPA0l748,3.1K views,4 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
77,Make Best Team For ICC Cricket World 2023 | Practice Problem | GeeksforGeeks,/watch?v=ItY3minkI3o,457 views,4 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
78,Interview Strategies for Freshers | GeeksforGeeks,/watch?v=tmg6d3T_T6Q,5.4K views,4 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
79,🏆 GeeksforGeeks Hack-A-Thon: World-cup-Wizard Edition 🌟,/watch?v=2mW7tclj6mc,366 views,4 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
80,Ace your DevOps interview | GeeksforGeeks,/watch?v=I-J28pjrTc8,104K views,5 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
81,How to Get Free Google Cloud Qwiklabs Credits | Google Cloud Bootcamp | GeeksforGeeks,/watch?v=lf-eQH28eAw,7.9K views,5 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
82,"GeeksforGeeks Community – Connect, Ask, Learn & Grow with Tech Geeks",/watch?v=dMX0Bel8V94,839 views,5 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
83,Become a SDET Expert with GeeksforGeeks,/watch?v=PLxzWN08w54,54K views,5 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
84,Geeks Premier League 2023 | India's Biggest Content Writing Event | GeeksforGeeks,/watch?v=e0DLnBRZRj0,1.8K views,5 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
85,Happy Engineer's Day To You All!,/watch?v=g4M-zfzsqBg,2.1K views,6 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
86,Decoding the Modern Job Landscape | An HR Perspective | GeeksforGeeks,/watch?v=w3ucO_5NHCU,759 views,6 months ago,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
